Run   NSE           RMSE          KGE           AbsPBIAS      par_POROSITY  par_HBV_BETA  par_FAST_BASEFLOW  par_MAX_PERC  par_MELT      par_SLOW_BASEFLOW  
104   2.648120E-01  1.388020E+01  5.948440E-01  2.048930E+01  1.008829E-01  6.804042E-01  6.048533E-01  5.678254E+01  8.673167E+00  1.284162E-01  
105   2.568640E-01  1.395500E+01  6.333550E-01  1.089890E+01  5.897764E-02  6.804042E-01  6.048533E-01  5.974362E+01  8.673167E+00  1.284162E-01  
106   2.617590E-01  1.390900E+01  6.343790E-01  1.083480E+01  5.897764E-02  6.804042E-01  6.048533E-01  5.974362E+01  7.151002E+00  1.284162E-01  
107   2.617590E-01  1.390900E+01  6.343790E-01  1.083480E+01  5.897764E-02  6.804042E-01  5.951748E-01  5.974362E+01  7.151002E+00  1.284162E-01  
108   2.480810E-01  1.403730E+01  5.087950E-01  1.819130E+01  5.897764E-02  6.804042E-01  5.951748E-01  5.974362E+01  7.151002E+00  6.316340E-02  
109   2.459260E-01  1.405740E+01  6.259250E-01  1.162770E+01  5.897764E-02  2.179951E+00  5.951748E-01  5.974362E+01  7.151002E+00  1.284162E-01  
110   2.328480E-01  1.417870E+01  6.241900E-01  1.093000E+01  5.897764E-02  6.804042E-01  5.959379E-01  5.358166E+01  1.000000E+01  1.284162E-01  
111   2.463090E-01  1.405380E+01  6.260780E-01  1.160210E+01  5.897764E-02  1.989921E+00  5.951748E-01  5.974362E+01  7.151002E+00  1.284162E-01  
112   2.472780E-01  1.404480E+01  6.285820E-01  1.094580E+01  5.897764E-02  6.804042E-01  5.951748E-01  5.974362E+01  9.669128E+00  1.284162E-01  
113   2.636890E-01  1.389080E+01  6.331520E-01  1.105640E+01  5.897764E-02  6.804042E-01  5.951748E-01  5.974362E+01  7.151002E+00  1.256230E-01  
114   2.460040E-01  1.405660E+01  6.258610E-01  1.118750E+01  5.897764E-02  6.804042E-01  5.951748E-01  5.974362E+01  9.998640E+00  1.256230E-01  
115   2.667500E-01  1.386190E+01  6.248990E-01  1.374640E+01  7.005809E-02  6.804042E-01  5.951748E-01  5.974362E+01  7.151002E+00  1.256230E-01  
116   2.660810E-01  1.386820E+01  6.351150E-01  1.068220E+01  5.897764E-02  5.198627E-01  5.951748E-01  5.974362E+01  7.151002E+00  1.256230E-01  
117   2.669440E-01  1.386010E+01  6.351690E-01  1.068530E+01  5.897764E-02  5.198627E-01  5.951748E-01  7.759799E+01  7.151002E+00  1.256230E-01  
118   2.669440E-01  1.386010E+01  6.351690E-01  1.068530E+01  5.897764E-02  5.198627E-01  5.108424E-01  7.156484E+01  7.151002E+00  1.256230E-01  
119   2.703150E-01  1.382820E+01  6.235200E-01  1.426310E+01  7.361349E-02  5.198627E-01  5.108424E-01  7.156484E+01  7.151002E+00  1.256230E-01  
120   2.737580E-01  1.379550E+01  6.395550E-01  1.065610E+01  5.897764E-02  5.198627E-01  5.108424E-01  5.324238E+01  7.151002E+00  1.256230E-01  
121   2.681770E-01  1.384840E+01  6.374830E-01  1.057490E+01  5.897764E-02  5.198627E-01  5.108424E-01  5.324238E+01  6.700227E+00  1.256230E-01  
122   2.436210E-01  1.407880E+01  6.030220E-01  1.727420E+01  8.293157E-02  1.845400E+00  5.108424E-01  5.324238E+01  6.700227E+00  1.256230E-01  
123   2.664140E-01  1.386510E+01  6.403800E-01  9.313270E+00  5.406002E-02  5.198627E-01  5.108424E-01  5.324238E+01  6.700227E+00  1.256230E-01  
